   Update      Virtual      Symbol Name      Decimal   

              A000_63B0  ADCReadings                   
                A000_63B0  [0]                        447
                A000_63B4  [1]                        442
                A000_63B8  [2]                        444
                A000_63BC  [3]                        446
                A000_63C0  [4]                        448
                A000_63C4  [5]                        444
                A000_63C8  [6]                        443
                A000_63CC  [7]                        447
                A000_63D0  [8]                        443
                A000_63D4  [9]                        448
                A000_63D8  [10]                       448
                A000_63DC  [11]                       440
                A000_63E0  [12]                       445
                A000_63E4  [13]                       447
                A000_63E8  [14]                       450
                A000_63EC  [15]                       445
                A000_63F0  [16]                       444
                A000_63F4  [17]                       447
                A000_63F8  [18]                       444
                A000_63FC  [19]                       448
                A000_6400  [20]                       449
                A000_6404  [21]                       441
                A000_6408  [22]                       447
                A000_640C  [23]                       449
                A000_6410  [24]                       449
                A000_6414  [25]                       446
                A000_6418  [26]                       445
                A000_641C  [27]                       448
                A000_6420  [28]                       444
                A000_6424  [29]                       449
                A000_6428  [30]                       449
                A000_642C  [31]                       442
                A000_6430  [32]                       447
                A000_6434  [33]                       449
                A000_6438  [34]                       449
                A000_643C  [35]                       447
                A000_6440  [36]                       445
                A000_6444  [37]                       449
                A000_6448  [38]                       445
                A000_644C  [39]                       449
                A000_6450  [40]                       451
                A000_6454  [41]                       444
                A000_6458  [42]                       448
                A000_645C  [43]                       449
                A000_6460  [44]                       448
                A000_6464  [45]                       448
                A000_6468  [46]                       446
                A000_646C  [47]                       451
                A000_6470  [48]                       446
                A000_6474  [49]                       451
                A000_6478  [50]                       451
                A000_647C  [51]                       443
                A000_6480  [52]                       449
                A000_6484  [53]                       451
                A000_6488  [54]                       450
                A000_648C  [55]                       448
                A000_6490  [56]                       445
                A000_6494  [57]                       451
                A000_6498  [58]                       448
                A000_649C  [59]                       451
                A000_64A0  [60]                       452
                A000_64A4  [61]                       444
                A000_64A8  [62]                       448
                A000_64AC  [63]                       451
                A000_64B0  [64]                       449
                A000_64B4  [65]                       449
                A000_64B8  [66]                       448
                A000_64BC  [67]                       451
                A000_64C0  [68]                       449
                A000_64C4  [69]                       450
                A000_64C8  [70]                       452
                A000_64CC  [71]                       443
                A000_64D0  [72]                       450
                A000_64D4  [73]                       452
                A000_64D8  [74]                       450
                A000_64DC  [75]                       450
                A000_64E0  [76]                       448
                A000_64E4  [77]                       451
                A000_64E8  [78]                       448
                A000_64EC  [79]                       451
                A000_64F0  [80]                       454
                A000_64F4  [81]                       444
                A000_64F8  [82]                       451
                A000_64FC  [83]                       453
                A000_6500  [84]                       450
                A000_6504  [85]                       451
                A000_6508  [86]                       449
                A000_650C  [87]                       451
                A000_6510  [88]                       449
                A000_6514  [89]                       451
                A000_6518  [90]                       453
                A000_651C  [91]                       441
                A000_6520  [92]                       451
                A000_6524  [93]                       454
                A000_6528  [94]                       450
                A000_652C  [95]                       451
                A000_6530  [96]                       449
                A000_6534  [97]                       452
                A000_6538  [98]                       450
                A000_653C  [99]                       452
                A000_6540  [100]                      455
                A000_6544  [101]                      446
                A000_6548  [102]                      452
                A000_654C  [103]                      453
                A000_6550  [104]                      449
                A000_6554  [105]                      451
                A000_6558  [106]                      449
                A000_655C  [107]                      451
                A000_6560  [108]                      448
                A000_6564  [109]                      448
                A000_6568  [110]                      451
                A000_656C  [111]                      443
                A000_6570  [112]                      447
                A000_6574  [113]                      449
                A000_6578  [114]                      444
                A000_657C  [115]                      445
                A000_6580  [116]                      443
                A000_6584  [117]                      445
                A000_6588  [118]                      442
                A000_658C  [119]                      443
                A000_6590  [120]                      445
                A000_6594  [121]                      437
                A000_6598  [122]                      441
                A000_659C  [123]                      443
                A000_65A0  [124]                      438
                A000_65A4  [125]                      442
                A000_65A8  [126]                      441
