   Update      Virtual      Symbol Name      Decimal   

              A000_D110  ADCReadings                   
                A000_D110  [0]                        359
                A000_D114  [1]                        362
                A000_D118  [2]                        359
                A000_D11C  [3]                        363
                A000_D120  [4]                        363
                A000_D124  [5]                        358
                A000_D128  [6]                        362
                A000_D12C  [7]                        363
                A000_D130  [8]                        362
                A000_D134  [9]                        363
                A000_D138  [10]                       360
                A000_D13C  [11]                       361
                A000_D140  [12]                       361
                A000_D144  [13]                       363
                A000_D148  [14]                       364
                A000_D14C  [15]                       358
                A000_D150  [16]                       362
                A000_D154  [17]                       365
                A000_D158  [18]                       361
                A000_D15C  [19]                       363
                A000_D160  [20]                       360
                A000_D164  [21]                       362
                A000_D168  [22]                       361
                A000_D16C  [23]                       362
                A000_D170  [24]                       365
                A000_D174  [25]                       359
                A000_D178  [26]                       363
                A000_D17C  [27]                       364
                A000_D180  [28]                       361
                A000_D184  [29]                       364
                A000_D188  [30]                       362
                A000_D18C  [31]                       363
                A000_D190  [32]                       363
                A000_D194  [33]                       363
                A000_D198  [34]                       365
                A000_D19C  [35]                       359
                A000_D1A0  [36]                       364
                A000_D1A4  [37]                       364
                A000_D1A8  [38]                       362
                A000_D1AC  [39]                       364
                A000_D1B0  [40]                       363
                A000_D1B4  [41]                       364
                A000_D1B8  [42]                       362
                A000_D1BC  [43]                       363
                A000_D1C0  [44]                       366
                A000_D1C4  [45]                       360
                A000_D1C8  [46]                       364
                A000_D1CC  [47]                       365
                A000_D1D0  [48]                       361
                A000_D1D4  [49]                       365
                A000_D1D8  [50]                       363
                A000_D1DC  [51]                       364
                A000_D1E0  [52]                       364
                A000_D1E4  [53]                       363
                A000_D1E8  [54]                       367
                A000_D1EC  [55]                       361
                A000_D1F0  [56]                       364
                A000_D1F4  [57]                       365
                A000_D1F8  [58]                       361
                A000_D1FC  [59]                       366
                A000_D200  [60]                       364
                A000_D204  [61]                       364
                A000_D208  [62]                       364
                A000_D20C  [63]                       363
                A000_D210  [64]                       366
                A000_D214  [65]                       362
                A000_D218  [66]                       364
                A000_D21C  [67]                       365
                A000_D220  [68]                       361
                A000_D224  [69]                       366
                A000_D228  [70]                       364
                A000_D22C  [71]                       363
                A000_D230  [72]                       363
                A000_D234  [73]                       362
                A000_D238  [74]                       365
                A000_D23C  [75]                       360
                A000_D240  [76]                       361
                A000_D244  [77]                       361
                A000_D248  [78]                       356
                A000_D24C  [79]                       361
                A000_D250  [80]                       360
                A000_D254  [81]                       359
                A000_D258  [82]                       358
                A000_D25C  [83]                       356
                A000_D260  [84]                       359
                A000_D264  [85]                       356
                A000_D268  [86]                       356
                A000_D26C  [87]                       357
                A000_D270  [88]                       352
                A000_D274  [89]                       358
                A000_D278  [90]                       357
                A000_D27C  [91]                       355
                A000_D280  [92]                       355
                A000_D284  [93]                       354
                A000_D288  [94]                       357
                A000_D28C  [95]                       354
                A000_D290  [96]                       355
                A000_D294  [97]                       356
                A000_D298  [98]                       352
                A000_D29C  [99]                       358
                A000_D2A0  [100]                      356
                A000_D2A4  [101]                      355
                A000_D2A8  [102]                      356
                A000_D2AC  [103]                      353
                A000_D2B0  [104]                      357
                A000_D2B4  [105]                      354
                A000_D2B8  [106]                      355
                A000_D2BC  [107]                      356
                A000_D2C0  [108]                      352
                A000_D2C4  [109]                      357
                A000_D2C8  [110]                      356
                A000_D2CC  [111]                      354
                A000_D2D0  [112]                      355
                A000_D2D4  [113]                      355
                A000_D2D8  [114]                      358
                A000_D2DC  [115]                      355
                A000_D2E0  [116]                      355
                A000_D2E4  [117]                      356
                A000_D2E8  [118]                      352
                A000_D2EC  [119]                      358
                A000_D2F0  [120]                      358
                A000_D2F4  [121]                      355
                A000_D2F8  [122]                      355
                A000_D2FC  [123]                      355
                A000_D300  [124]                      358
                A000_D304  [125]                      356
                A000_D308  [126]                      356
                A000_D30C  [127]                      357
                A000_D310  [128]                      353
                A000_D314  [129]                      358
                A000_D318  [130]                      359
                A000_D31C  [131]                      355
                A000_D320  [132]                      356
                A000_D324  [133]                      355
                A000_D328  [134]                      359
                A000_D32C  [135]                      357
                A000_D330  [136]                      356
                A000_D334  [137]                      357
                A000_D338  [138]                      353
                A000_D33C  [139]                      358
                A000_D340  [140]                      359
                A000_D344  [141]                      355
                A000_D348  [142]                      356
                A000_D34C  [143]                      355
                A000_D350  [144]                      359
                A000_D354  [145]                      357
                A000_D358  [146]                      356
                A000_D35C  [147]                      357
                A000_D360  [148]                      353
                A000_D364  [149]                      358
                A000_D368  [150]                      359
                A000_D36C  [151]                      355
                A000_D370  [152]                      357
                A000_D374  [153]                      355
                A000_D378  [154]                      359
                A000_D37C  [155]                      358
                A000_D380  [156]                      353
                A000_D384  [157]                      357
                A000_D388  [158]                      353
                A000_D38C  [159]                      359
                A000_D390  [160]                      360
                A000_D394  [161]                      354
                A000_D398  [162]                      357
                A000_D39C  [163]                      356
                A000_D3A0  [164]                      360
                A000_D3A4  [165]                      359
                A000_D3A8  [166]                      357
                A000_D3AC  [167]                      359
                A000_D3B0  [168]                      355
                A000_D3B4  [169]                      360
                A000_D3B8  [170]                      360
                A000_D3BC  [171]                      355
                A000_D3C0  [172]                      357
                A000_D3C4  [173]                      357
                A000_D3C8  [174]                      360
                A000_D3CC  [175]                      359
                A000_D3D0  [176]                      356
                A000_D3D4  [177]                      358
                A000_D3D8  [178]                      355
                A000_D3DC  [179]                      360
                A000_D3E0  [180]                      361
                A000_D3E4  [181]                      355
                A000_D3E8  [182]                      358
                A000_D3EC  [183]                      358
                A000_D3F0  [184]                      360
                A000_D3F4  [185]                      359
                A000_D3F8  [186]                      358
                A000_D3FC  [187]                      359
                A000_D400  [188]                      356
                A000_D404  [189]                      359
                A000_D408  [190]                      361
                A000_D40C  [191]                      356
                A000_D410  [192]                      359
                A000_D414  [193]                      359
                A000_D418  [194]                      361
                A000_D41C  [195]                      361
                A000_D420  [196]                      358
                A000_D424  [197]                      360
                A000_D428  [198]                      357
                A000_D42C  [199]                      362
                A000_D430  [200]                      362
                A000_D434  [201]                      358
                A000_D438  [202]                      360
                A000_D43C  [203]                      359
                A000_D440  [204]                      361
                A000_D444  [205]                      361
                A000_D448  [206]                      359
                A000_D44C  [207]                      361
                A000_D450  [208]                      358
                A000_D454  [209]                      361
                A000_D458  [210]                      363
                A000_D45C  [211]                      358
                A000_D460  [212]                      360
