   Update      Virtual      Symbol Name      Decimal   

              A000_A230  ADCReadings                   
                A000_A230  [0]                        425
                A000_A234  [1]                        428
                A000_A238  [2]                        427
                A000_A23C  [3]                        427
                A000_A240  [4]                        430
                A000_A244  [5]                        423
                A000_A248  [6]                        428
                A000_A24C  [7]                        429
                A000_A250  [8]                        426
                A000_A254  [9]                        429
                A000_A258  [10]                       426
                A000_A25C  [11]                       428
                A000_A260  [12]                       428
                A000_A264  [13]                       427
                A000_A268  [14]                       430
                A000_A26C  [15]                       425
                A000_A270  [16]                       428
                A000_A274  [17]                       429
                A000_A278  [18]                       426
                A000_A27C  [19]                       429
                A000_A280  [20]                       428
                A000_A284  [21]                       428
                A000_A288  [22]                       428
                A000_A28C  [23]                       428
                A000_A290  [24]                       431
                A000_A294  [25]                       427
                A000_A298  [26]                       429
                A000_A29C  [27]                       430
                A000_A2A0  [28]                       427
                A000_A2A4  [29]                       431
                A000_A2A8  [30]                       429
                A000_A2AC  [31]                       429
                A000_A2B0  [32]                       430
                A000_A2B4  [33]                       428
                A000_A2B8  [34]                       431
                A000_A2BC  [35]                       427
                A000_A2C0  [36]                       429
                A000_A2C4  [37]                       430
                A000_A2C8  [38]                       425
                A000_A2CC  [39]                       431
                A000_A2D0  [40]                       430
                A000_A2D4  [41]                       430
                A000_A2D8  [42]                       428
                A000_A2DC  [43]                       427
                A000_A2E0  [44]                       432
                A000_A2E4  [45]                       427
                A000_A2E8  [46]                       429
                A000_A2EC  [47]                       431
                A000_A2F0  [48]                       425
                A000_A2F4  [49]                       431
                A000_A2F8  [50]                       430
                A000_A2FC  [51]                       429
                A000_A300  [52]                       428
                A000_A304  [53]                       427
                A000_A308  [54]                       431
                A000_A30C  [55]                       428
                A000_A310  [56]                       428
                A000_A314  [57]                       429
                A000_A318  [58]                       424
                A000_A31C  [59]                       430
                A000_A320  [60]                       430
                A000_A324  [61]                       428
                A000_A328  [62]                       428
                A000_A32C  [63]                       426
                A000_A330  [64]                       430
                A000_A334  [65]                       428
                A000_A338  [66]                       429
                A000_A33C  [67]                       430
                A000_A340  [68]                       425
                A000_A344  [69]                       430
                A000_A348  [70]                       430
                A000_A34C  [71]                       428
                A000_A350  [72]                       428
                A000_A354  [73]                       428
                A000_A358  [74]                       431
                A000_A35C  [75]                       429
                A000_A360  [76]                       428
                A000_A364  [77]                       430
                A000_A368  [78]                       423
                A000_A36C  [79]                       432
                A000_A370  [80]                       431
                A000_A374  [81]                       429
                A000_A378  [82]                       429
                A000_A37C  [83]                       428
                A000_A380  [84]                       432
                A000_A384  [85]                       428
                A000_A388  [86]                       429
                A000_A38C  [87]                       430
                A000_A390  [88]                       425
                A000_A394  [89]                       432
                A000_A398  [90]                       431
                A000_A39C  [91]                       428
                A000_A3A0  [92]                       428
                A000_A3A4  [93]                       428
                A000_A3A8  [94]                       431
                A000_A3AC  [95]                       430
                A000_A3B0  [96]                       429
                A000_A3B4  [97]                       430
                A000_A3B8  [98]                       427
                A000_A3BC  [99]                       431
                A000_A3C0  [100]                      432
                A000_A3C4  [101]                      428
                A000_A3C8  [102]                      428
                A000_A3CC  [103]                      428
                A000_A3D0  [104]                      432
                A000_A3D4  [105]                      430
                A000_A3D8  [106]                      429
                A000_A3DC  [107]                      431
                A000_A3E0  [108]                      427
                A000_A3E4  [109]                      432
                A000_A3E8  [110]                      432
                A000_A3EC  [111]                      427
                A000_A3F0  [112]                      429
                A000_A3F4  [113]                      429
                A000_A3F8  [114]                      432
                A000_A3FC  [115]                      430
                A000_A400  [116]                      429
                A000_A404  [117]                      431
                A000_A408  [118]                      427
                A000_A40C  [119]                      432
                A000_A410  [120]                      432
                A000_A414  [121]                      427
                A000_A418  [122]                      429
                A000_A41C  [123]                      429
                A000_A420  [124]                      432
