   Update      Virtual      Symbol Name      Decimal   

              A000_63B0  ADCReadings                   
                A000_63B0  [0]                        445
                A000_63B4  [1]                        445
                A000_63B8  [2]                        448
                A000_63BC  [3]                        446
                A000_63C0  [4]                        452
                A000_63C4  [5]                        469
                A000_63C8  [6]                        350
                A000_63CC  [7]                        324
                A000_63D0  [8]                        317
                A000_63D4  [9]                        321
                A000_63D8  [10]                       325
                A000_63DC  [11]                       328
                A000_63E0  [12]                       329
                A000_63E4  [13]                       329
                A000_63E8  [14]                       331
                A000_63EC  [15]                       328
                A000_63F0  [16]                       328
                A000_63F4  [17]                       323
                A000_63F8  [18]                       324
                A000_63FC  [19]                       318
                A000_6400  [20]                       343
                A000_6404  [21]                       414
                A000_6408  [22]                       396
                A000_640C  [23]                       399
                A000_6410  [24]                       406
                A000_6414  [25]                       413
                A000_6418  [26]                       414
                A000_641C  [27]                       424
                A000_6420  [28]                       429
                A000_6424  [29]                       428
                A000_6428  [30]                       430
                A000_642C  [31]                       432
                A000_6430  [32]                       433
                A000_6434  [33]                       431
                A000_6438  [34]                       429
                A000_643C  [35]                       428
                A000_6440  [36]                       425
                A000_6444  [37]                       440
                A000_6448  [38]                       460
                A000_644C  [39]                       346
                A000_6450  [40]                       321
                A000_6454  [41]                       317
                A000_6458  [42]                       321
                A000_645C  [43]                       326
                A000_6460  [44]                       328
                A000_6464  [45]                       339
                A000_6468  [46]                       333
                A000_646C  [47]                       339
                A000_6470  [48]                       339
                A000_6474  [49]                       345
                A000_6478  [50]                       337
                A000_647C  [51]                       329
                A000_6480  [52]                       328
                A000_6484  [53]                       323
                A000_6488  [54]                       317
                A000_648C  [55]                       331
                A000_6490  [56]                       439
                A000_6494  [57]                       416
                A000_6498  [58]                       414
                A000_649C  [59]                       412
                A000_64A0  [60]                       418
                A000_64A4  [61]                       421
                A000_64A8  [62]                       425
                A000_64AC  [63]                       428
                A000_64B0  [64]                       427
                A000_64B4  [65]                       429
                A000_64B8  [66]                       427
                A000_64BC  [67]                       432
                A000_64C0  [68]                       434
                A000_64C4  [69]                       432
                A000_64C8  [70]                       443
                A000_64CC  [71]                       455
                A000_64D0  [72]                       413
                A000_64D4  [73]                       349
                A000_64D8  [74]                       329
                A000_64DC  [75]                       320
                A000_64E0  [76]                       320
                A000_64E4  [77]                       318
                A000_64E8  [78]                       326
                A000_64EC  [79]                       323
                A000_64F0  [80]                       328
                A000_64F4  [81]                       336
                A000_64F8  [82]                       333
                A000_64FC  [83]                       338
                A000_6500  [84]                       335
                A000_6504  [85]                       335
                A000_6508  [86]                       331
                A000_650C  [87]                       325
                A000_6510  [88]                       321
                A000_6514  [89]                       347
                A000_6518  [90]                       421
                A000_651C  [91]                       395
                A000_6520  [92]                       395
                A000_6524  [93]                       400
                A000_6528  [94]                       403
                A000_652C  [95]                       412
                A000_6530  [96]                       412
                A000_6534  [97]                       418
                A000_6538  [98]                       424
                A000_653C  [99]                       422
                A000_6540  [100]                      429
                A000_6544  [101]                      431
                A000_6548  [102]                      432
                A000_654C  [103]                      432
                A000_6550  [104]                      432
                A000_6554  [105]                      433
                A000_6558  [106]                      432
                A000_655C  [107]                      435
                A000_6560  [108]                      440
                A000_6564  [109]                      439
                A000_6568  [110]                      449
                A000_656C  [111]                      464
                A000_6570  [112]                      355
                A000_6574  [113]                      324
                A000_6578  [114]                      317
                A000_657C  [115]                      319
                A000_6580  [116]                      323
                A000_6584  [117]                      326
                A000_6588  [118]                      330
                A000_658C  [119]                      334
                A000_6590  [120]                      336
                A000_6594  [121]                      335
                A000_6598  [122]                      332
                A000_659C  [123]                      335
                A000_65A0  [124]                      323
                A000_65A4  [125]                      318
                A000_65A8  [126]                      412
                A000_65AC  [127]                      437
                A000_65B0  [128]                      435
                A000_65B4  [129]                      434
                A000_65B8  [130]                      441
                A000_65BC  [131]                      446
                A000_65C0  [132]                      447
                A000_65C4  [133]                      452
                A000_65C8  [134]                      453
                A000_65CC  [135]                      458
                A000_65D0  [136]                      461
                A000_65D4  [137]                      461
                A000_65D8  [138]                      464
                A000_65DC  [139]                      460
                A000_65E0  [140]                      464
                A000_65E4  [141]                      464
                A000_65E8  [142]                      462
                A000_65EC  [143]                      464
